Ship's capacity,Number of containers,Dynamic algorithm time,Greedy algorithm time,Greedy algorithm quality
10000,30,0.15197,0.0024,99.079
10000,50,0.36447,5e-05,100.0
10000,70,0.50229,6e-05,100.0
10000,90,0.65683,7e-05,99.821
10000,110,0.81817,9e-05,99.909
10000,130,0.9845,0.0001,100.0
10000,150,1.12588,0.00011,100.0
10000,170,1.21395,0.00013,99.983
10000,190,1.41454,0.00014,99.97
10000,210,1.54911,0.00017,100.0
10000,230,1.73703,0.00017,99.975
10000,250,1.85534,0.00018,99.969
10000,270,2.02897,0.0002,100.0
10000,290,2.18021,0.0002,99.976
10000,310,2.4245,0.00022,99.964
